ID: JX583
DATE, WEIGHT
9_5_2018 9:40:57, 2252.778320
9_5_2018 9:40:57, 2252.778320
9_5_2018 9:40:57, 2252.778320
9_5_2018 9:40:57, 2252.765625
9_5_2018 9:40:57, 2252.765625
9_5_2018 9:40:57, 2252.765625
9_5_2018 9:40:57, 2252.765625
9_5_2018 9:40:58, 2252.765625
9_5_2018 9:40:58, 2252.765625
9_5_2018 9:40:58, 2252.765625
9_5_2018 9:40:58, 2252.753418
9_5_2018 9:40:58, 2252.753418
9_5_2018 9:40:58, 2252.753418
9_5_2018 9:40:58, 2252.753418
9_5_2018 9:40:59, 2252.753418
9_5_2018 9:40:59, 2252.753418
9_5_2018 9:40:59, 2252.753418
9_5_2018 9:40:59, 2252.740723
9_5_2018 9:40:59, 2252.740723
9_5_2018 9:40:59, 2252.740723
9_5_2018 9:40:59, 2252.740723
9_5_2018 9:41:0, 2252.740723
9_5_2018 9:41:0, 2252.740723
9_5_2018 9:41:0, 2252.740723
9_5_2018 9:41:0, 2252.728516
9_5_2018 9:41:0, 2252.728516
9_5_2018 9:41:0, 2252.728516
9_5_2018 9:41:0, 2252.728516
9_5_2018 9:41:1, 2252.728516
9_5_2018 9:41:1, 2252.728516
9_5_2018 9:41:1, 2252.728516
9_5_2018 9:41:1, 2252.715820
9_5_2018 9:41:1, 2252.715820
9_5_2018 9:41:1, 2252.715820
9_5_2018 9:41:1, 2252.715820
9_5_2018 9:41:2, 2252.715820
9_5_2018 9:41:2, 2252.715820
9_5_2018 9:41:2, 2252.715820
9_5_2018 9:41:2, 2252.703613
9_5_2018 9:41:2, 2252.703613
9_5_2018 9:41:2, 2252.703613
9_5_2018 9:41:2, 2252.703613
9_5_2018 9:41:3, 2252.703613
9_5_2018 9:41:3, 2252.703613
9_5_2018 9:41:3, 2252.703613
